method,classifier,accuracy,train_time,test_time
pca,knn,0.408125,0.0037064552307128906,0.05118417739868164
pca,svm,0.454375,0.5948646068572998,0.36226367950439453
pca,rf,0.39875,1.0170938968658447,0.0549473762512207
lda,knn,0.53625,0.0023207664489746094,0.05105853080749512
lda,svm,0.575,0.40985679626464844,0.317410945892334
lda,rf,0.53625,0.9117891788482666,0.04348444938659668
nmf,knn,0.29625,0.0024003982543945312,0.05238056182861328
nmf,svm,0.331875,1.010657548904419,0.3786611557006836
nmf,rf,0.270625,1.0677645206451416,0.04282045364379883
random_projection,knn,0.209375,0.0024154186248779297,0.05114030838012695
random_projection,svm,0.2675,1.1448922157287598,0.4249129295349121
random_projection,rf,0.21,1.0760881900787354,0.04447817802429199
metric_mds,knn,0.38375,0.002355337142944336,0.04963183403015137
metric_mds,svm,0.429375,0.7304890155792236,0.37802577018737793
metric_mds,rf,0.39625,0.9950830936431885,0.05129671096801758
tsne,knn,0.943125,0.0023436546325683594,0.05014634132385254
tsne,svm,0.89875,0.16810059547424316,0.16689586639404297
tsne,rf,0.948125,0.7003219127655029,0.019951820373535156
umap,knn,0.940625,0.002357006072998047,0.04885721206665039
umap,svm,0.9375,0.13116669654846191,0.11698007583618164
umap,rf,0.94,0.7004413604736328,0.020235300064086914
isomap,knn,0.49375,0.002407550811767578,0.050340890884399414
isomap,svm,0.5475,0.4458272457122803,0.33684825897216797
isomap,rf,0.488125,0.9122521877288818,0.03647494316101074
lle,knn,0.7825,0.002614736557006836,0.05248880386352539
lle,svm,0.625625,0.3182108402252197,0.3465087413787842
lle,rf,0.7825,0.8015413284301758,0.02792835235595703
laplacian,knn,0.7175,0.002283811569213867,0.04912066459655762
laplacian,svm,0.6875,0.2895967960357666,0.2936732769012451
laplacian,rf,0.7125,0.8239648342132568,0.028407812118530273
nonmetric_mds,knn,0.10375,0.0023393630981445312,0.05021858215332031
nonmetric_mds,svm,0.1,1.5810980796813965,0.4303410053253174
nonmetric_mds,rf,0.099375,1.6066827774047852,0.051528215408325195
